korean,latin,transcription
썀,ssyam,s͈jɐm
썁,ssyab,s͈jɐp
썂,ssyabs,s͈jɐps
썃,ssyas,s͈jɐs
썄,ssyass,s͈jɐs͈
썅,ssyang,s͈jɐŋ
썆,ssyaj,s͈jɐt͡ɕ
썇,ssyach,s͈jɐt͡ɕʰ
썈,ssyak,s͈jɐkʰ
썉,ssyat,s͈jɐtʰ
썊,ssyap,s͈jɐpʰ
썋,ssyah,s͈jɐh
썌,ssyae,s͈jɛ
썍,ssyaeg,s͈jɛk
썎,ssyaegg,s͈jɛk͈
썏,ssyaegs,s͈jɛks
썐,ssyaen,s͈jɛn
썑,ssyaenj,s͈jɛnɟ
썒,ssyaenh,s͈jɛnh
썓,ssyaed,s͈jɛt
썔,ssyael,s͈jɛɾ
썕,ssyaelg,s͈jɛlg
썖,ssyaelm,s͈jɛlm
썗,ssyaelb,s͈jɛlb
썘,ssyaels,s͈jɛls
썙,ssyaelt,s͈jɛltʰ
썚,ssyaelp,s͈jɛlpʰ
썛,ssyaelh,s͈jɛlh
썜,ssyaem,s͈jɛm
썝,ssyaeb,s͈jɛp
썞,ssyaebs,s͈jɛps
썟,ssyaes,s͈jɛs
썠,ssyaess,s͈jɛs͈
썡,ssyaeng,s͈jɛŋ
썢,ssyaej,s͈jɛt͡ɕ
썣,ssyaech,s͈jɛt͡ɕʰ
썤,ssyaek,s͈jɛkʰ
썥,ssyaet,s͈jɛtʰ
썦,ssyaep,s͈jɛpʰ
썧,ssyaeh,s͈jɛh
써,sseo,s͈ʌ
썩,sseog,s͈ʌk
썪,sseogg,s͈ʌk͈
썫,sseogs,s͈ʌks
썬,sseon,s͈ʌn
썭,sseonj,s͈ʌnɟ
썮,sseonh,s͈ʌnh
썯,sseod,s͈ʌt
썰,sseol,s͈ʌɾ
썱,sseolg,s͈ʌlg
썲,sseolm,s͈ʌlm
썳,sseolb,s͈ʌlb
썴,sseols,s͈ʌls
썵,sseolt,s͈ʌltʰ
썶,sseolp,s͈ʌlpʰ
썷,sseolh,s͈ʌlh
썸,sseom,s͈ʌm
썹,sseob,s͈ʌp
썺,sseobs,s͈ʌps
썻,sseos,s͈ʌs
썼,sseoss,s͈ʌs͈
썽,sseong,s͈ʌŋ
썾,sseoj,s͈ʌt͡ɕ
썿,sseoch,s͈ʌt͡ɕʰ
쎀,sseok,s͈ʌkʰ
쎁,sseot,s͈ʌtʰ
쎂,sseop,s͈ʌpʰ
쎃,sseoh,s͈ʌh
쎄,sse,s͈e
쎅,sseg,s͈ek
쎆,ssegg,s͈ek͈
쎇,ssegs,s͈eks
쎈,ssen,s͈en
쎉,ssenj,s͈enɟ
쎊,ssenh,s͈enh
쎋,ssed,s͈et
쎌,ssel,s͈eɾ
쎍,sselg,s͈elg
쎎,sselm,s͈elm
쎏,sselb,s͈elb
쎐,ssels,s͈els
쎑,sselt,s͈eltʰ
쎒,sselp,s͈elpʰ
쎓,sselh,s͈elh
쎔,ssem,s͈em
쎕,sseb,s͈ep
쎖,ssebs,s͈eps
쎗,sses,s͈es
쎘,ssess,s͈es͈
쎙,sseng,s͈eŋ
쎚,ssej,s͈et͡ɕ
쎛,ssech,s͈et͡ɕʰ
쎜,ssek,s͈ekʰ
쎝,sset,s͈etʰ
쎞,ssep,s͈epʰ
쎟,sseh,s͈eh
쎠,ssyeo,s͈jʌ
쎡,ssyeog,s͈jʌk
쎢,ssyeogg,s͈jʌk͈
쎣,ssyeogs,s͈jʌks
쎤,ssyeon,s͈jʌn
쎥,ssyeonj,s͈jʌnɟ
쎦,ssyeonh,s͈jʌnh
쎧,ssyeod,s͈jʌt
쎨,ssyeol,s͈jʌɾ
쎩,ssyeolg,s͈jʌlg
쎪,ssyeolm,s͈jʌlm
쎫,ssyeolb,s͈jʌlb
쎬,ssyeols,s͈jʌls
쎭,ssyeolt,s͈jʌltʰ
쎮,ssyeolp,s͈jʌlpʰ
쎯,ssyeolh,s͈jʌlh
쎰,ssyeom,s͈jʌm
쎱,ssyeob,s͈jʌp
쎲,ssyeobs,s͈jʌps
쎳,ssyeos,s͈jʌs
쎴,ssyeoss,s͈jʌs͈
쎵,ssyeong,s͈jʌŋ
쎶,ssyeoj,s͈jʌt͡ɕ
쎷,ssyeoch,s͈jʌt͡ɕʰ
쎸,ssyeok,s͈jʌkʰ
쎹,ssyeot,s͈jʌtʰ
쎺,ssyeop,s͈jʌpʰ
쎻,ssyeoh,s͈jʌh
쎼,ssye,s͈je
쎽,ssyeg,s͈jek
쎾,ssyegg,s͈jek͈
쎿,ssyegs,s͈jeks
쏀,ssyen,s͈jen
쏁,ssyenj,s͈jenɟ
쏂,ssyenh,s͈jenh
쏃,ssyed,s͈jet
쏄,ssyel,s͈jeɾ
쏅,ssyelg,s͈jelg
쏆,ssyelm,s͈jelm
쏇,ssyelb,s͈jelb
쏈,ssyels,s͈jels
쏉,ssyelt,s͈jeltʰ
쏊,ssyelp,s͈jelpʰ
쏋,ssyelh,s͈jelh
쏌,ssyem,s͈jem
쏍,ssyeb,s͈jep
쏎,ssyebs,s͈jeps
쏏,ssyes,s͈jes
쏐,ssyess,s͈jes͈
쏑,ssyeng,s͈jeŋ
쏒,ssyej,s͈jet͡ɕ
쏓,ssyech,s͈jet͡ɕʰ
쏔,ssyek,s͈jekʰ
쏕,ssyet,s͈jetʰ
쏖,ssyep,s͈jepʰ
쏗,ssyeh,s͈jeh
쏘,sso,s͈o
쏙,ssog,s͈ok
쏚,ssogg,s͈ok͈
쏛,ssogs,s͈oks
쏜,sson,s͈on
쏝,ssonj,s͈onɟ
쏞,ssonh,s͈onh
쏟,ssod,s͈ot
쏠,ssol,s͈oɾ
쏡,ssolg,s͈olg
쏢,ssolm,s͈olm
쏣,ssolb,s͈olb
쏤,ssols,s͈ols
쏥,ssolt,s͈oltʰ
쏦,ssolp,s͈olpʰ
쏧,ssolh,s͈olh
쏨,ssom,s͈om
쏩,ssob,s͈op
쏪,ssobs,s͈ops
쏫,ssos,s͈os
쏬,ssoss,s͈os͈
쏭,ssong,s͈oŋ
쏮,ssoj,s͈ot͡ɕ
쏯,ssoch,s͈ot͡ɕʰ
쏰,ssok,s͈okʰ
쏱,ssot,s͈otʰ
쏲,ssop,s͈opʰ
쏳,ssoh,s͈oh
쏴,sswa,s͈wɐ
쏵,sswag,s͈wɐk
쏶,sswagg,s͈wɐk͈
쏷,sswags,s͈wɐks
쏸,sswan,s͈wɐn
쏹,sswanj,s͈wɐnɟ
쏺,sswanh,s͈wɐnh
쏻,sswad,s͈wɐt
쏼,sswal,s͈wɐɾ
쏽,sswalg,s͈wɐlg
쏾,sswalm,s͈wɐlm
쏿,sswalb,s͈wɐlb
쐀,sswals,s͈wɐls
쐁,sswalt,s͈wɐltʰ
쐂,sswalp,s͈wɐlpʰ
쐃,sswalh,s͈wɐlh
쐄,sswam,s͈wɐm
쐅,sswab,s͈wɐp
쐆,sswabs,s͈wɐps
쐇,sswas,s͈wɐs
쐈,sswass,s͈wɐs͈
쐉,sswang,s͈wɐŋ
쐊,sswaj,s͈wɐt͡ɕ
쐋,sswach,s͈wɐt͡ɕʰ
쐌,sswak,s͈wɐkʰ
쐍,sswat,s͈wɐtʰ
쐎,sswap,s͈wɐpʰ
쐏,sswah,s͈wɐh
쐐,sswae,s͈wɛ
쐑,sswaeg,s͈wɛk
쐒,sswaegg,s͈wɛk͈
쐓,sswaegs,s͈wɛks
쐔,sswaen,s͈wɛn
쐕,sswaenj,s͈wɛnɟ
쐖,sswaenh,s͈wɛnh
쐗,sswaed,s͈wɛt
쐘,sswael,s͈wɛɾ
쐙,sswaelg,s͈wɛlg
쐚,sswaelm,s͈wɛlm
쐛,sswaelb,s͈wɛlb
쐜,sswaels,s͈wɛls
쐝,sswaelt,s͈wɛltʰ
쐞,sswaelp,s͈wɛlpʰ
쐟,sswaelh,s͈wɛlh
쐠,sswaem,s͈wɛm
쐡,sswaeb,s͈wɛp
쐢,sswaebs,s͈wɛps
쐣,sswaes,s͈wɛs
쐤,sswaess,s͈wɛs͈
쐥,sswaeng,s͈wɛŋ
쐦,sswaej,s͈wɛt͡ɕ
쐧,sswaech,s͈wɛt͡ɕʰ
쐨,sswaek,s͈wɛkʰ
쐩,sswaet,s͈wɛtʰ
쐪,sswaep,s͈wɛpʰ
쐫,sswaeh,s͈wɛh
쐬,ssoe,s͈we
쐭,ssoeg,s͈wek
쐮,ssoegg,s͈wek͈
쐯,ssoegs,s͈weks
쐰,ssoen,s͈wen
쐱,ssoenj,s͈wenɟ
쐲,ssoenh,s͈wenh
쐳,ssoed,s͈wet
쐴,ssoel,s͈weɾ
쐵,ssoelg,s͈welg
쐶,ssoelm,s͈welm
쐷,ssoelb,s͈welb
쐸,ssoels,s͈wels
쐹,ssoelt,s͈weltʰ
쐺,ssoelp,s͈welpʰ
쐻,ssoelh,s͈welh
쐼,ssoem,s͈wem
쐽,ssoeb,s͈wep
쐾,ssoebs,s͈weps
쐿,ssoes,s͈wes
쑀,ssoess,s͈wes͈
쑁,ssoeng,s͈weŋ
쑂,ssoej,s͈wet͡ɕ
쑃,ssoech,s͈wet͡ɕʰ
쑄,ssoek,s͈wekʰ
쑅,ssoet,s͈wetʰ
쑆,ssoep,s͈wepʰ
쑇,ssoeh,s͈weh
쑈,ssyo,s͈jo
쑉,ssyog,s͈jok
쑊,ssyogg,s͈jok͈
쑋,ssyogs,s͈joks
쑌,ssyon,s͈jon
쑍,ssyonj,s͈jonɟ
쑎,ssyonh,s͈jonh
쑏,ssyod,s͈jot
쑐,ssyol,s͈joɾ
쑑,ssyolg,s͈jolg
쑒,ssyolm,s͈jolm
쑓,ssyolb,s͈jolb
쑔,ssyols,s͈jols
쑕,ssyolt,s͈joltʰ
쑖,ssyolp,s͈jolpʰ
쑗,ssyolh,s͈jolh
쑘,ssyom,s͈jom
쑙,ssyob,s͈jop
쑚,ssyobs,s͈jops
쑛,ssyos,s͈jos
쑜,ssyoss,s͈jos͈
쑝,ssyong,s͈joŋ
쑞,ssyoj,s͈jot͡ɕ
쑟,ssyoch,s͈jot͡ɕʰ
쑠,ssyok,s͈jokʰ
쑡,ssyot,s͈jotʰ
쑢,ssyop,s͈jopʰ
쑣,ssyoh,s͈joh
쑤,ssu,s͈u
쑥,ssug,s͈uk
쑦,ssugg,s͈uk͈
쑧,ssugs,s͈uks
쑨,ssun,s͈un
쑩,ssunj,s͈unɟ
쑪,ssunh,s͈unh
쑫,ssud,s͈ut
쑬,ssul,s͈uɾ
쑭,ssulg,s͈ulg
쑮,ssulm,s͈ulm
쑯,ssulb,s͈ulb
쑰,ssuls,s͈uls
쑱,ssult,s͈ultʰ
쑲,ssulp,s͈ulpʰ
쑳,ssulh,s͈ulh
쑴,ssum,s͈um
쑵,ssub,s͈up
쑶,ssubs,s͈ups
쑷,ssus,s͈us
쑸,ssuss,s͈us͈
쑹,ssung,s͈uŋ
쑺,ssuj,s͈ut͡ɕ
쑻,ssuch,s͈ut͡ɕʰ
쑼,ssuk,s͈ukʰ
쑽,ssut,s͈utʰ
쑾,ssup,s͈upʰ
쑿,ssuh,s͈uh
쒀,ssweo,s͈wʌ
쒁,ssweog,s͈wʌk
쒂,ssweogg,s͈wʌk͈
쒃,ssweogs,s͈wʌks
쒄,ssweon,s͈wʌn
쒅,ssweonj,s͈wʌnɟ
쒆,ssweonh,s͈wʌnh
쒇,ssweod,s͈wʌt
쒈,ssweol,s͈wʌɾ
쒉,ssweolg,s͈wʌlg
쒊,ssweolm,s͈wʌlm
쒋,ssweolb,s͈wʌlb
쒌,ssweols,s͈wʌls
쒍,ssweolt,s͈wʌltʰ
쒎,ssweolp,s͈wʌlpʰ
쒏,ssweolh,s͈wʌlh
쒐,ssweom,s͈wʌm
쒑,ssweob,s͈wʌp
쒒,ssweobs,s͈wʌps
쒓,ssweos,s͈wʌs
쒔,ssweoss,s͈wʌs͈
쒕,ssweong,s͈wʌŋ
쒖,ssweoj,s͈wʌt͡ɕ
쒗,ssweoch,s͈wʌt͡ɕʰ
쒘,ssweok,s͈wʌkʰ
쒙,ssweot,s͈wʌtʰ
쒚,ssweop,s͈wʌpʰ
쒛,ssweoh,s͈wʌh
쒜,sswe,s͈we
쒝,ssweg,s͈wek
쒞,sswegg,s͈wek͈
쒟,sswegs,s͈weks
쒠,sswen,s͈wen
쒡,sswenj,s͈wenɟ
쒢,sswenh,s͈wenh
쒣,sswed,s͈wet
쒤,sswel,s͈weɾ
쒥,sswelg,s͈welg
쒦,sswelm,s͈welm
쒧,sswelb,s͈welb
쒨,sswels,s͈wels
쒩,sswelt,s͈weltʰ
쒪,sswelp,s͈welpʰ
쒫,sswelh,s͈welh
쒬,sswem,s͈wem
쒭,ssweb,s͈wep
쒮,sswebs,s͈weps
쒯,sswes,s͈wes
쒰,sswess,s͈wes͈
쒱,ssweng,s͈weŋ
쒲,sswej,s͈wet͡ɕ
쒳,sswech,s͈wet͡ɕʰ
쒴,sswek,s͈wekʰ
쒵,sswet,s͈wetʰ
쒶,sswep,s͈wepʰ
쒷,ssweh,s͈weh
쒸,sswi,s͈wi
쒹,sswig,s͈wik
쒺,sswigg,s͈wik͈
쒻,sswigs,s͈wiks
쒼,sswin,s͈win
쒽,sswinj,s͈winɟ
쒾,sswinh,s͈winh
쒿,sswid,s͈wit
쓀,sswil,s͈wiɾ
쓁,sswilg,s͈wilg
쓂,sswilm,s͈wilm
쓃,sswilb,s͈wilb
쓄,sswils,s͈wils
쓅,sswilt,s͈wiltʰ
쓆,sswilp,s͈wilpʰ
쓇,sswilh,s͈wilh
쓈,sswim,s͈wim
쓉,sswib,s͈wip
쓊,sswibs,s͈wips
쓋,sswis,s͈wis
쓌,sswiss,s͈wis͈
쓍,sswing,s͈wiŋ
쓎,sswij,s͈wit͡ɕ
쓏,sswich,s͈wit͡ɕʰ
쓐,sswik,s͈wikʰ
쓑,sswit,s͈witʰ
쓒,sswip,s͈wipʰ
쓓,sswih,s͈wih
쓔,ssyu,s͈ju
쓕,ssyug,s͈juk
쓖,ssyugg,s͈juk͈
쓗,ssyugs,s͈juks
쓘,ssyun,s͈jun
쓙,ssyunj,s͈junɟ
쓚,ssyunh,s͈junh
쓛,ssyud,s͈jut
쓜,ssyul,s͈juɾ
쓝,ssyulg,s͈julg
쓞,ssyulm,s͈julm
쓟,ssyulb,s͈julb
쓠,ssyuls,s͈juls
쓡,ssyult,s͈jultʰ
쓢,ssyulp,s͈julpʰ
쓣,ssyulh,s͈julh
쓤,ssyum,s͈jum
쓥,ssyub,s͈jup
쓦,ssyubs,s͈jups
쓧,ssyus,s͈jus
쓨,ssyuss,s͈jus͈
쓩,ssyung,s͈juŋ
쓪,ssyuj,s͈jut͡ɕ
쓫,ssyuch,s͈jut͡ɕʰ
쓬,ssyuk,s͈jukʰ
쓭,ssyut,s͈jutʰ
쓮,ssyup,s͈jupʰ
쓯,ssyuh,s͈juh
쓰,sseu,s͈ɨ
쓱,sseug,s͈ɨk
쓲,sseugg,s͈ɨk͈
쓳,sseugs,s͈ɨks
쓴,sseun,s͈ɨn
쓵,sseunj,s͈ɨnɟ
쓶,sseunh,s͈ɨnh
쓷,sseud,s͈ɨt
쓸,sseul,s͈ɨɾ
쓹,sseulg,s͈ɨlg
쓺,sseulm,s͈ɨlm
쓻,sseulb,s͈ɨlb
쓼,sseuls,s͈ɨls
쓽,sseult,s͈ɨltʰ
쓾,sseulp,s͈ɨlpʰ
쓿,sseulh,s͈ɨlh
씀,sseum,s͈ɨm
씁,sseub,s͈ɨp
씂,sseubs,s͈ɨps
씃,sseus,s͈ɨs
씄,sseuss,s͈ɨs͈
씅,sseung,s͈ɨŋ
씆,sseuj,s͈ɨt͡ɕ
씇,sseuch,s͈ɨt͡ɕʰ
씈,sseuk,s͈ɨkʰ
씉,sseut,s͈ɨtʰ
씊,sseup,s͈ɨpʰ
씋,sseuh,s͈ɨh
씌,ssyi,s͈ы
씍,ssyig,s͈ыk
씎,ssyigg,s͈ыk͈
씏,ssyigs,s͈ыks
씐,ssyin,s͈ыn
씑,ssyinj,s͈ыnɟ
씒,ssyinh,s͈ыnh
씓,ssyid,s͈ыt
씔,ssyil,s͈ыɾ
씕,ssyilg,s͈ыlg
씖,ssyilm,s͈ыlm
씗,ssyilb,s͈ыlb
씘,ssyils,s͈ыls
씙,ssyilt,s͈ыltʰ
씚,ssyilp,s͈ыlpʰ
씛,ssyilh,s͈ыlh
씜,ssyim,s͈ыm
씝,ssyib,s͈ыp
씞,ssyibs,s͈ыps
씟,ssyis,s͈ыs
씠,ssyiss,s͈ыs͈
씡,ssying,s͈ыŋ
씢,ssyij,s͈ыt͡ɕ
씣,ssyich,s͈ыt͡ɕʰ
씤,ssyik,s͈ыkʰ
씥,ssyit,s͈ыtʰ
씦,ssyip,s͈ыpʰ
씧,ssyih,s͈ыh
씨,ssi,s͈i
씩,ssig,s͈ik
씪,ssigg,s͈ik͈
씫,ssigs,s͈iks
씬,ssin,s͈in
씭,ssinj,s͈inɟ
씮,ssinh,s͈inh
씯,ssid,s͈it
씰,ssil,s͈iɾ
씱,ssilg,s͈ilg
씲,ssilm,s͈ilm
씳,ssilb,s͈ilb
씴,ssils,s͈ils
씵,ssilt,s͈iltʰ
씶,ssilp,s͈ilpʰ
씷,ssilh,s͈ilh
씸,ssim,s͈im
씹,ssib,s͈ip
씺,ssibs,s͈ips
씻,ssis,s͈is
씼,ssiss,s͈is͈
씽,ssing,s͈iŋ
씾,ssij,s͈it͡ɕ
씿,ssich,s͈it͡ɕʰ
앀,ssik,s͈ikʰ
앁,ssit,s͈itʰ
앂,ssip,s͈ipʰ
앃,ssih,s͈ih
아,a,ɐ
악,ag,ɐk
앆,agg,ɐk͈
앇,ags,ɐks
안,an,ɐn
앉,anj,ɐnɟ
않,anh,ɐnh
앋,ad,ɐt
알,al,ɐɾ
앍,alg,ɐlg
앎,alm,ɐlm
앏,alb,ɐlb
앐,als,ɐls
앑,alt,ɐltʰ
앒,alp,ɐlpʰ
앓,alh,ɐlh
암,am,ɐm
압,ab,ɐp
앖,abs,ɐps
앗,as,ɐs
았,ass,ɐs͈
앙,ang,ɐŋ
앚,aj,ɐt͡ɕ
앛,ach,ɐt͡ɕʰ
앜,ak,ɐkʰ
앝,at,ɐtʰ
앞,ap,ɐpʰ
앟,ah,ɐh
애,ae,ɛ
액,aeg,ɛk
앢,aegg,ɛk͈
앣,aegs,ɛks
앤,aen,ɛn
앥,aenj,ɛnɟ
앦,aenh,ɛnh
앧,aed,ɛt
앨,ael,ɛɾ
앩,aelg,ɛlg
앪,aelm,ɛlm
앫,aelb,ɛlb
앬,aels,ɛls
앭,aelt,ɛltʰ
앮,aelp,ɛlpʰ
앯,aelh,ɛlh
앰,aem,ɛm
앱,aeb,ɛp
앲,aebs,ɛps
앳,aes,ɛs
앴,aess,ɛs͈
앵,aeng,ɛŋ
앶,aej,ɛt͡ɕ
앷,aech,ɛt͡ɕʰ
앸,aek,ɛkʰ
앹,aet,ɛtʰ
앺,aep,ɛpʰ
앻,aeh,ɛh
야,ya,jɐ
약,yag,jɐk
앾,yagg,jɐk͈
앿,yags,jɐks
얀,yan,jɐn
얁,yanj,jɐnɟ
얂,yanh,jɐnh
얃,yad,jɐt
얄,yal,jɐɾ
얅,yalg,jɐlg
얆,yalm,jɐlm
얇,yalb,jɐlb
얈,yals,jɐls
얉,yalt,jɐltʰ
얊,yalp,jɐlpʰ
얋,yalh,jɐlh
얌,yam,jɐm
얍,yab,jɐp
얎,yabs,jɐps
얏,yas,jɐs
얐,yass,jɐs͈
양,yang,jɐŋ
얒,yaj,jɐt͡ɕ
얓,yach,jɐt͡ɕʰ
얔,yak,jɐkʰ
얕,yat,jɐtʰ
얖,yap,jɐpʰ
얗,yah,jɐh
얘,yae,jɛ
얙,yaeg,jɛk
얚,yaegg,jɛk͈
얛,yaegs,jɛks
얜,yaen,jɛn
얝,yaenj,jɛnɟ
얞,yaenh,jɛnh
얟,yaed,jɛt
얠,yael,jɛɾ
얡,yaelg,jɛlg
얢,yaelm,jɛlm
얣,yaelb,jɛlb
얤,yaels,jɛls
얥,yaelt,jɛltʰ
얦,yaelp,jɛlpʰ
얧,yaelh,jɛlh
얨,yaem,jɛm
얩,yaeb,jɛp
얪,yaebs,jɛps
얫,yaes,jɛs
얬,yaess,jɛs͈
얭,yaeng,jɛŋ
얮,yaej,jɛt͡ɕ
얯,yaech,jɛt͡ɕʰ
얰,yaek,jɛkʰ
얱,yaet,jɛtʰ
얲,yaep,jɛpʰ
얳,yaeh,jɛh
어,eo,ʌ
억,eog,ʌk
얶,eogg,ʌk͈
얷,eogs,ʌks
언,eon,ʌn
얹,eonj,ʌnɟ
얺,eonh,ʌnh
얻,eod,ʌt
얼,eol,ʌɾ
얽,eolg,ʌlg
얾,eolm,ʌlm
얿,eolb,ʌlb
엀,eols,ʌls
엁,eolt,ʌltʰ
엂,eolp,ʌlpʰ
엃,eolh,ʌlh
엄,eom,ʌm
업,eob,ʌp
없,eobs,ʌps
엇,eos,ʌs
었,eoss,ʌs͈
엉,eong,ʌŋ
엊,eoj,ʌt͡ɕ
엋,eoch,ʌt͡ɕʰ
엌,eok,ʌkʰ
엍,eot,ʌtʰ
엎,eop,ʌpʰ
엏,eoh,ʌh
에,e,e
엑,eg,ek
엒,egg,ek͈
엓,egs,eks
엔,en,en
엕,enj,enɟ
엖,enh,enh
엗,ed,et
엘,el,eɾ
엙,elg,elg
엚,elm,elm
엛,elb,elb
엜,els,els
엝,elt,eltʰ
엞,elp,elpʰ
엟,elh,elh
엠,em,em
엡,eb,ep
엢,ebs,eps
엣,es,es
엤,ess,es͈
엥,eng,eŋ
엦,ej,et͡ɕ
엧,ech,et͡ɕʰ
엨,ek,ekʰ
엩,et,etʰ
엪,ep,epʰ
엫,eh,eh
여,yeo,jʌ
역,yeog,jʌk
엮,yeogg,jʌk͈
엯,yeogs,jʌks
연,yeon,jʌn
엱,yeonj,jʌnɟ
엲,yeonh,jʌnh
엳,yeod,jʌt
열,yeol,jʌɾ
엵,yeolg,jʌlg
엶,yeolm,jʌlm
엷,yeolb,jʌlb
엸,yeols,jʌls
엹,yeolt,jʌltʰ
엺,yeolp,jʌlpʰ
엻,yeolh,jʌlh
염,yeom,jʌm
엽,yeob,jʌp
엾,yeobs,jʌps
엿,yeos,jʌs
였,yeoss,jʌs͈
영,yeong,jʌŋ
옂,yeoj,jʌt͡ɕ
옃,yeoch,jʌt͡ɕʰ
옄,yeok,jʌkʰ
옅,yeot,jʌtʰ
옆,yeop,jʌpʰ
옇,yeoh,jʌh
예,ye,je
옉,yeg,jek
옊,yegg,jek͈
옋,yegs,jeks
옌,yen,jen
옍,yenj,jenɟ
옎,yenh,jenh
옏,yed,jet
옐,yel,jeɾ
옑,yelg,jelg
옒,yelm,jelm
옓,yelb,jelb
옔,yels,jels
옕,yelt,jeltʰ
옖,yelp,jelpʰ
옗,yelh,jelh
옘,yem,jem
옙,yeb,jep
옚,yebs,jeps
옛,yes,jes
옜,yess,jes͈
옝,yeng,jeŋ
옞,yej,jet͡ɕ
옟,yech,jet͡ɕʰ
옠,yek,jekʰ
옡,yet,jetʰ
옢,yep,jepʰ
옣,yeh,jeh
오,o,o
옥,og,ok
옦,ogg,ok͈
옧,ogs,oks
온,on,on
옩,onj,onɟ
옪,onh,onh
옫,od,ot
올,ol,oɾ
옭,olg,olg
옮,olm,olm
옯,olb,olb
옰,ols,ols
옱,olt,oltʰ
옲,olp,olpʰ
옳,olh,olh
옴,om,om
옵,ob,op
옶,obs,ops
옷,os,os
옸,oss,os͈
옹,ong,oŋ
옺,oj,ot͡ɕ
옻,och,ot͡ɕʰ
옼,ok,okʰ
옽,ot,otʰ
옾,op,opʰ
옿,oh,oh
와,wa,wɐ
왁,wag,wɐk
왂,wagg,wɐk͈
왃,wags,wɐks
완,wan,wɐn
왅,wanj,wɐnɟ
왆,wanh,wɐnh
왇,wad,wɐt
왈,wal,wɐɾ
왉,walg,wɐlg
왊,walm,wɐlm
왋,walb,wɐlb
왌,wals,wɐls
왍,walt,wɐltʰ
왎,walp,wɐlpʰ
왏,walh,wɐlh
왐,wam,wɐm
왑,wab,wɐp
왒,wabs,wɐps
왓,was,wɐs
왔,wass,wɐs͈
왕,wang,wɐŋ
왖,waj,wɐt͡ɕ
왗,wach,wɐt͡ɕʰ
왘,wak,wɐkʰ
왙,wat,wɐtʰ
왚,wap,wɐpʰ
왛,wah,wɐh
왜,wae,wɛ
왝,waeg,wɛk
왞,waegg,wɛk͈
왟,waegs,wɛks
왠,waen,wɛn
왡,waenj,wɛnɟ
왢,waenh,wɛnh
왣,waed,wɛt
왤,wael,wɛɾ
왥,waelg,wɛlg
왦,waelm,wɛlm
왧,waelb,wɛlb
왨,waels,wɛls
왩,waelt,wɛltʰ
왪,waelp,wɛlpʰ
왫,waelh,wɛlh
왬,waem,wɛm
왭,waeb,wɛp
왮,waebs,wɛps
왯,waes,wɛs
왰,waess,wɛs͈
왱,waeng,wɛŋ
왲,waej,wɛt͡ɕ
왳,waech,wɛt͡ɕʰ
왴,waek,wɛkʰ
왵,waet,wɛtʰ
왶,waep,wɛpʰ
왷,waeh,wɛh
외,oe,we
왹,oeg,wek
왺,oegg,wek͈
왻,oegs,weks
왼,oen,wen
왽,oenj,wenɟ
왾,oenh,wenh
왿,oed,wet
욀,oel,weɾ
욁,oelg,welg
욂,oelm,welm
욃,oelb,welb
욄,oels,wels
욅,oelt,weltʰ
욆,oelp,welpʰ
욇,oelh,welh
욈,oem,wem
욉,oeb,wep
욊,oebs,weps
욋,oes,wes
욌,oess,wes͈
욍,oeng,weŋ
욎,oej,wet͡ɕ
욏,oech,wet͡ɕʰ
욐,oek,wekʰ
욑,oet,wetʰ
욒,oep,wepʰ
욓,oeh,weh
요,yo,jo
욕,yog,jok
욖,yogg,jok͈
욗,yogs,joks
욘,yon,jon
욙,yonj,jonɟ
욚,yonh,jonh
욛,yod,jot
욜,yol,joɾ
욝,yolg,jolg
욞,yolm,jolm
욟,yolb,jolb
욠,yols,jols
욡,yolt,joltʰ
욢,yolp,jolpʰ
욣,yolh,jolh
욤,yom,jom
욥,yob,jop
욦,yobs,jops
욧,yos,jos
욨,yoss,jos͈
용,yong,joŋ
욪,yoj,jot͡ɕ
욫,yoch,jot͡ɕʰ
욬,yok,jokʰ
욭,yot,jotʰ
욮,yop,jopʰ
욯,yoh,joh
우,u,u
욱,ug,uk
욲,ugg,uk͈
욳,ugs,uks
운,un,un
욵,unj,unɟ
욶,unh,unh
욷,ud,ut
울,ul,uɾ
욹,ulg,ulg
욺,ulm,ulm
욻,ulb,ulb
욼,uls,uls
욽,ult,ultʰ
욾,ulp,ulpʰ
욿,ulh,ulh
움,um,um
웁,ub,up
웂,ubs,ups
웃,us,us
웄,uss,us͈
웅,ung,uŋ
웆,uj,ut͡ɕ
웇,uch,ut͡ɕʰ
웈,uk,ukʰ
웉,ut,utʰ
웊,up,upʰ
웋,uh,uh
워,weo,wʌ
웍,weog,wʌk
웎,weogg,wʌk͈
웏,weogs,wʌks
원,weon,wʌn
웑,weonj,wʌnɟ
웒,weonh,wʌnh
웓,weod,wʌt
월,weol,wʌɾ
웕,weolg,wʌlg
웖,weolm,wʌlm
웗,weolb,wʌlb
웘,weols,wʌls
웙,weolt,wʌltʰ
웚,weolp,wʌlpʰ
웛,weolh,wʌlh
웜,weom,wʌm
웝,weob,wʌp
웞,weobs,wʌps
웟,weos,wʌs
웠,weoss,wʌs͈
웡,weong,wʌŋ
웢,weoj,wʌt͡ɕ
웣,weoch,wʌt͡ɕʰ
웤,weok,wʌkʰ
웥,weot,wʌtʰ
웦,weop,wʌpʰ
웧,weoh,wʌh
웨,we,we
웩,weg,wek
웪,wegg,wek͈
